concept,xpath,frequency
"dataTable_attributeList_attribute_measurementScale_ordinal_nonNumericDomain_textDomain_definition","/eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/textDomain/definition",886
"spatialRaster_attributeList_attribute_measurementScale_nominal_nonNumericDomain_textDomain_definition","/eml/dataset/spatialRaster/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition",588
"spatialVector_attributeList_attribute_measurementScale_ordinal_nonNumericDomain_textDomain_definition","/eml/dataset/spatialVector/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/textDomain/definition",1
"contact_address_deliveryPoint","/eml/dataset/contact/address/deliveryPoint",18662
"creator_address_deliveryPoint","/eml/dataset/creator/address/deliveryPoint",15922
"project_personnel_address_deliveryPoint","/eml/dataset/project/personnel/address/deliveryPoint",13308
"metadataProvider_address_deliveryPoint","/eml/dataset/metadataProvider/address/deliveryPoint",6971
"project_relatedProject_personnel_address_deliveryPoint","/eml/dataset/project/relatedProject/personnel/address/deliveryPoint",6464
"publisher_address_deliveryPoint","/eml/dataset/publisher/address/deliveryPoint",6163
"associatedParty_address_deliveryPoint","/eml/dataset/associatedParty/address/deliveryPoint",6148
"dataTable_methods_methodStep_software_associatedParty_address_deliveryPoint","/eml/dataset/dataTable/methods/methodStep/software/associatedParty/address/deliveryPoint",1760
"dataTable_methods_methodStep_software_creator_address_deliveryPoint","/eml/dataset/dataTable/methods/methodStep/software/creator/address/deliveryPoint",1760
"methods_methodStep_dataSource_creator_address_deliveryPoint","/eml/dataset/methods/methodStep/dataSource/creator/address/deliveryPoint",400
"methods_methodStep_dataSource_contact_address_deliveryPoint","/eml/dataset/methods/methodStep/dataSource/contact/address/deliveryPoint",376
"project_designDescription_citation_book_publisher_address_deliveryPoint","/eml/dataset/project/designDescription/citation/book/publisher/address/deliveryPoint",11
"project_designDescription_citation_creator_address_deliveryPoint","/eml/dataset/project/designDescription/citation/creator/address/deliveryPoint",11
"methods_methodStep_citation_presentation_conferenceLocation_deliveryPoint","/eml/dataset/methods/methodStep/citation/presentation/conferenceLocation/deliveryPoint",9
"methods_methodStep_protocol_creator_address_deliveryPoint","/eml/dataset/methods/methodStep/protocol/creator/address/deliveryPoint",8
"spatialVector_methods_methodStep_dataSource_creator_address_deliveryPoint","/eml/dataset/spatialVector/methods/methodStep/dataSource/creator/address/deliveryPoint",3
"spatialVector_methods_methodStep_dataSource_contact_address_deliveryPoint","/eml/dataset/spatialVector/methods/methodStep/dataSource/contact/address/deliveryPoint",3
"methods_sampling_citation_creator_address_deliveryPoint","/eml/dataset/methods/sampling/citation/creator/address/deliveryPoint",2
"methods_methodStep_software_creator_address_deliveryPoint","/eml/dataset/methods/methodStep/software/creator/address/deliveryPoint",2
"methods_methodStep_software_associatedParty_address_deliveryPoint","/eml/dataset/methods/methodStep/software/associatedParty/address/deliveryPoint",2
"methods_methodStep_citation_creator_address_deliveryPoint","/eml/dataset/methods/methodStep/citation/creator/address/deliveryPoint",2
"methods_sampling_citation_contact_address_deliveryPoint","/eml/dataset/methods/sampling/citation/contact/address/deliveryPoint",1
"methods_methodStep_citation_contact_address_deliveryPoint","/eml/dataset/methods/methodStep/citation/contact/address/deliveryPoint",1
"dataTable_methods_methodStep_subStep_description_para","/eml/dataset/dataTable/methods/methodStep/subStep/description/para",223399
"dataTable_methods_methodStep_subStep_description","/eml/dataset/dataTable/methods/methodStep/subStep/description",223399
"_eml_additionalMetadata_metadata_{http:__www.xml-cml.org_schema_stmml-.}unitList_{http:__www.xml-cml.org_schema_stmml-.}unit_{http:__www.xml-cml.org_schema_stmml-.}description","/eml/additionalMetadata/metadata/{http://www.xml-cml.org/schema/stmml-.}unitList/{http://www.xml-cml.org/schema/stmml-.}unit/{http://www.xml-cml.org/schema/stmml-.}description",23833
"methods_methodStep_description_para","/eml/dataset/methods/methodStep/description/para",17337
"methods_methodStep_description","/eml/dataset/methods/methodStep/description",14176
"methods_methodStep_description_section_para","/eml/dataset/methods/methodStep/description/section/para",12876
"methods_methodStep_description_para_itemizedlist_listitem","/eml/dataset/methods/methodStep/description/para/itemizedlist/listitem",10386
"methods_methodStep_description_para_itemizedlist_listitem_para","/eml/dataset/methods/methodStep/description/para/itemizedlist/listitem/para",10386
"methods_methodStep_description_section","/eml/dataset/methods/methodStep/description/section",8138
"methods_methodStep_description_section_title","/eml/dataset/methods/methodStep/description/section/title",5961
"methods_methodStep_description_para_itemizedlist","/eml/dataset/methods/methodStep/description/para/itemizedlist",5137
"methods_methodStep_description_para_itemizedlist_listitem_para_literalLayout","/eml/dataset/methods/methodStep/description/para/itemizedlist/listitem/para/literalLayout",5103
"maintenance_description","/eml/dataset/maintenance/description",3627
"otherEntity_methods_methodStep_description_section_para","/eml/dataset/otherEntity/methods/methodStep/description/section/para",3381
"otherEntity_methods_methodStep_description_section","/eml/dataset/otherEntity/methods/methodStep/description/section",3381
"otherEntity_methods_methodStep_description_section_title","/eml/dataset/otherEntity/methods/methodStep/description/section/title",3355
"maintenance_description_para","/eml/dataset/maintenance/description/para",3234
"_eml_additionalMetadata_metadata_unitList_unit_description","/eml/additionalMetadata/metadata/unitList/unit/description",2181
"methods_methodStep_description_section_para_literalLayout","/eml/dataset/methods/methodStep/description/section/para/literalLayout",1753
"dataTable_methods_methodStep_description","/eml/dataset/dataTable/methods/methodStep/description",1485
"dataTable_attributeList_attribute_methods_methodStep_description_para","/eml/dataset/dataTable/attributeList/attribute/methods/methodStep/description/para",1332
"maintenance_description_section_para","/eml/dataset/maintenance/description/section/para",1321
"maintenance_description_section","/eml/dataset/maintenance/description/section",1320
"dataTable_attributeList_attribute_methods_methodStep_description","/eml/dataset/dataTable/attributeList/attribute/methods/methodStep/description",1307
"dataTable_methods_qualityControl_description_para","/eml/dataset/dataTable/methods/qualityControl/description/para",1281
"dataTable_methods_qualityControl_description","/eml/dataset/dataTable/methods/qualityControl/description",1279
"dataTable_methods_methodStep_description_para","/eml/dataset/dataTable/methods/methodStep/description/para",1253
"maintenance_description_para_literalLayout","/eml/dataset/maintenance/description/para/literalLayout",1202
"maintenance_description_section_title","/eml/dataset/maintenance/description/section/title",1147
"methods_methodStep_description_section_para_itemizedlist_listitem_para","/eml/dataset/methods/methodStep/description/section/para/itemizedlist/listitem/para",1040
